n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls,baseline_success,baseline_time,baseline_cost,baseline_conflicts
4,0,True,0.0010025501251220703,22,1,4,False,0.0,,
4,1,True,0.002370595932006836,53,1,4,False,0.0,,
4,2,True,0.0009996891021728516,36,1,4,False,0.0,,
6,0,True,0.005953073501586914,61,5,14,False,0.0,,
6,1,True,0.0039997100830078125,88,3,10,False,0.0,,
6,2,True,0.0020003318786621094,62,1,6,False,0.0,,
8,0,True,0.03233051300048828,124,4,14,False,0.0,,
8,1,True,0.013422966003417969,107,2,10,False,0.0,,
8,2,True,0.015924453735351562,126,5,16,False,0.0,,
10,0,True,0.39660000801086426,134,205,418,False,0.0,,
10,1,True,0.010001659393310547,112,3,14,False,0.0,,
10,2,True,0.038323402404785156,126,8,24,False,0.0,,
12,0,True,0.017678022384643555,146,12,34,False,0.0,,
12,1,True,0.021325111389160156,146,12,34,False,0.0,,
12,2,True,0.017714977264404297,146,12,34,False,0.0,,
15,0,True,0.11902761459350586,205,57,127,False,0.0,,
15,1,True,0.08693766593933105,270,15,43,False,0.0,,
15,2,True,0.38589906692504883,221,61,135,False,0.0,,
18,0,False,60.36596703529358,,,,False,0.0,,
18,1,False,60.248719692230225,,,,False,0.0,,
18,2,True,0.5658679008483887,222,312,640,False,0.0,,
20,0,True,11.058825969696045,297,3836,7690,False,0.0,,
20,1,True,0.4140584468841553,260,274,566,False,0.0,,
20,2,False,60.11100649833679,,,,False,0.0,,
25,0,False,60.262638568878174,,,,False,0.0,,
25,1,False,60.12657380104065,,,,False,0.0,,
25,2,False,60.2116277217865,,,,False,0.0,,
30,0,False,60.268757343292236,,,,False,0.0,,
30,1,False,60.13450646400452,,,,False,0.0,,
30,2,False,60.150182247161865,,,,False,0.0,,
