n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls,baseline_success,baseline_time,baseline_cost,baseline_conflicts
4,0,True,0.0010006427764892578,51,1,4,False,0.0,,
4,1,True,0.00099945068359375,39,1,4,False,0.0,,
4,2,True,0.0020008087158203125,66,1,4,False,0.0,,
6,0,True,0.004000186920166016,74,2,8,False,0.0,,
6,1,True,0.003999948501586914,90,5,14,False,0.0,,
6,2,True,0.0030002593994140625,63,5,14,False,0.0,,
8,0,True,3.669999837875366,134,3398,6802,False,0.0,,
8,1,True,0.0029997825622558594,117,1,8,False,0.0,,
8,2,True,0.002000570297241211,106,1,8,False,0.0,,
10,0,True,0.004000186920166016,115,2,12,False,0.0,,
10,1,True,0.009999990463256836,117,4,16,False,0.0,,
10,2,True,0.06400012969970703,152,20,48,False,0.0,,
12,0,False,60.265825510025024,,,,False,0.0,,
12,1,True,0.049135684967041016,184,25,60,False,0.0,,
12,2,True,0.008001327514648438,142,4,18,False,0.0,,
15,0,False,60.22169375419617,,,,False,0.0,,
15,1,True,0.4932584762573242,217,331,675,False,0.0,,
15,2,False,60.20829153060913,,,,False,0.0,,
18,0,False,60.23111438751221,,,,False,0.0,,
18,1,False,60.63872766494751,,,,False,0.0,,
18,2,True,53.653589725494385,277,24646,49308,False,0.0,,
20,0,True,7.821707725524902,243,5093,10204,False,0.0,,
20,1,False,60.198976278305054,,,,False,0.0,,
20,2,True,0.6999986171722412,288,314,646,False,0.0,,
25,0,False,60.147133111953735,,,,False,0.0,,
25,1,False,60.19222950935364,,,,False,0.0,,
25,2,False,60.19022011756897,,,,False,0.0,,
30,0,False,60.21741008758545,,,,False,0.0,,
30,1,False,60.21956276893616,,,,False,0.0,,
30,2,False,60.233628273010254,,,,False,0.0,,
