n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls,baseline_success,baseline_time,baseline_cost,baseline_conflicts
4,0,True,0.001138925552368164,22,1,4,True,0.09969401359558105,44,0
4,1,True,0.0019989013671875,53,1,4,True,0.06277632713317871,68,0
4,2,True,0.0020017623901367188,36,1,4,True,0.1306164264678955,72,0
6,0,True,0.009531259536743164,61,5,14,True,32.09474539756775,174,0
6,1,True,0.0,88,3,10,True,11.142723798751831,204,0
6,2,True,0.0029997825622558594,62,1,6,True,6.050969123840332,198,0
8,0,True,0.030250072479248047,124,4,14,False,61.980515241622925,,
8,1,True,0.01299905776977539,107,2,10,False,63.65990233421326,,
8,2,True,0.023001432418823242,126,5,16,False,61.96060276031494,,
10,0,True,0.32541632652282715,134,205,418,False,61.171189308166504,,
10,1,True,0.004999876022338867,112,3,14,False,61.67870259284973,,
10,2,True,0.023224830627441406,126,8,24,False,61.00913453102112,,
12,0,True,0.006204843521118164,146,12,34,False,61.290199279785156,,
12,1,True,0.012000799179077148,146,12,34,False,61.39071559906006,,
12,2,True,0.013001680374145508,146,12,34,False,61.27515435218811,,
15,0,True,0.11799931526184082,205,57,127,False,60.85936450958252,,
15,1,True,0.06274771690368652,270,15,43,False,60.83631086349487,,
15,2,True,0.299668550491333,221,61,135,False,60.77123665809631,,
18,0,False,60.18421244621277,,,,False,60.70894742012024,,
18,1,False,60.23512816429138,,,,False,60.75216317176819,,
18,2,True,0.4960365295410156,222,312,640,False,60.65224075317383,,
20,0,True,9.597619771957397,297,3836,7690,False,60.000333070755005,,
20,1,True,0.5119986534118652,260,274,566,False,60.61900877952576,,
20,2,False,60.125646352767944,,,,False,60.89833903312683,,
25,0,False,60.1518976688385,,,,False,60.75374507904053,,
25,1,False,60.422640562057495,,,,False,60.69618368148804,,
25,2,False,60.14813184738159,,,,False,60.64211678504944,,
30,0,False,60.1908221244812,,,,False,60.01329231262207,,
30,1,False,60.13741660118103,,,,False,60.389689445495605,,
30,2,False,60.162182092666626,,,,False,60.35070538520813,,
