n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls,baseline_success,baseline_time,baseline_cost,baseline_conflicts
4,0,True,0.0009999275207519531,22,1,4,False,0.0,,
4,1,True,0.0010004043579101562,53,1,4,False,0.0,,
4,2,True,0.0,36,1,4,False,0.0,,
6,0,True,0.005999565124511719,61,5,14,False,0.0,,
6,1,True,0.002001047134399414,88,3,10,False,0.0,,
6,2,True,0.00099945068359375,62,1,6,False,0.0,,
8,0,True,0.027996063232421875,124,4,14,False,0.0,,
8,1,True,0.009999513626098633,107,2,10,False,0.0,,
8,2,True,0.01300048828125,126,5,16,False,0.0,,
10,0,True,0.23299670219421387,134,205,418,False,0.0,,
10,1,True,0.004999399185180664,112,3,14,False,0.0,,
10,2,True,0.019999980926513672,126,8,24,False,0.0,,
12,0,True,0.010000467300415039,146,12,34,False,0.0,,
12,1,True,0.009999513626098633,146,12,34,False,0.0,,
12,2,True,0.010000467300415039,146,12,34,False,0.0,,
15,0,True,0.08100199699401855,205,57,127,False,0.0,,
15,1,True,0.06699991226196289,270,15,43,False,0.0,,
15,2,True,0.277996301651001,221,61,135,False,0.0,,
18,0,False,60.26751756668091,,,,False,0.0,,
18,1,False,60.15975880622864,,,,False,0.0,,
18,2,True,0.48496294021606445,222,312,640,False,0.0,,
20,0,True,9.810239553451538,297,3836,7690,False,0.0,,
20,1,True,0.3879971504211426,260,274,566,False,0.0,,
20,2,False,60.24079895019531,,,,False,0.0,,
25,0,False,60.43417549133301,,,,False,0.0,,
25,1,False,60.26065945625305,,,,False,0.0,,
25,2,False,60.179529666900635,,,,False,0.0,,
30,0,False,60.18083333969116,,,,False,0.0,,
30,1,False,60.142223834991455,,,,False,0.0,,
30,2,False,60.233362436294556,,,,False,0.0,,
