n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls
4,0,True,0.001056671142578125,38,1,4
4,1,True,0.0019466876983642578,57,1,4
4,2,True,0.0014235973358154297,55,2,6
4,3,True,0.0012981891632080078,31,8,18
4,4,True,0.0004715919494628906,47,1,4
4,5,True,0.00023865699768066406,28,1,4
4,6,True,0.0008242130279541016,50,2,6
4,7,True,0.0006628036499023438,55,1,4
4,8,True,0.0009779930114746094,65,1,4
4,9,True,0.00022912025451660156,31,1,4
4,10,True,0.0012907981872558594,53,2,6
4,11,True,0.0009961128234863281,55,1,4
4,12,True,0.048705339431762695,61,29,60
4,13,True,0.0018413066864013672,58,2,6
4,14,True,0.000990152359008789,68,1,4
4,15,True,0.0004703998565673828,52,1,4
4,16,True,0.011692285537719727,50,21,44
4,17,True,0.0031108856201171875,50,7,16
4,18,True,0.0010585784912109375,71,1,4
4,19,True,0.0013518333435058594,78,1,4
4,20,True,0.007265806198120117,86,4,10
4,21,True,0.0014636516571044922,68,2,6
4,22,True,0.0013113021850585938,81,1,4
4,23,True,0.001955270767211914,57,4,10
4,24,True,0.0009884834289550781,69,1,4
6,0,True,0.008392810821533203,108,7,18
6,1,True,0.007366180419921875,72,17,38
6,2,True,0.0014109611511230469,99,1,6
6,3,True,0.0018775463104248047,89,2,8
6,4,True,0.0017120838165283203,85,2,8
6,5,True,0.00990915298461914,102,4,12
6,6,True,0.0008876323699951172,74,1,6
6,7,True,0.0027146339416503906,92,2,8
6,8,True,0.0011196136474609375,87,1,6
6,9,True,0.0009505748748779297,90,1,6
6,10,True,0.0018262863159179688,102,1,6
6,11,True,0.0009293556213378906,68,1,6
6,12,True,0.001756429672241211,103,1,6
6,13,True,0.004025697708129883,91,2,8
6,14,True,0.0017123222351074219,102,2,8
6,15,True,0.0017538070678710938,113,1,6
6,16,True,0.0011281967163085938,80,1,6
6,17,True,0.010181903839111328,112,7,18
6,18,True,0.002611398696899414,77,8,20
6,19,True,0.0009109973907470703,71,1,6
6,20,True,0.0018138885498046875,66,2,8
6,21,True,0.0009191036224365234,56,3,10
6,22,True,0.008686304092407227,104,8,20
6,23,True,0.001468658447265625,75,2,8
6,24,True,0.0017631053924560547,96,1,6
8,0,True,0.016016483306884766,107,46,98
8,1,True,0.005927562713623047,117,14,34
8,2,True,0.0041828155517578125,123,7,20
8,3,True,0.10942888259887695,130,167,340
8,4,True,0.010483026504516602,133,26,58
8,5,True,0.0021047592163085938,110,2,10
8,6,True,0.0010907649993896484,81,2,10
8,7,True,0.0061054229736328125,112,2,10
8,8,True,0.0054624080657958984,117,15,36
8,9,True,0.007201433181762695,109,8,22
8,10,True,0.006791591644287109,117,4,14
8,11,True,0.0019392967224121094,130,1,8
8,12,True,0.0022132396697998047,80,5,16
8,13,True,0.037749290466308594,112,63,132
8,14,True,0.002806425094604492,72,8,22
8,15,True,0.003576517105102539,112,5,16
8,16,True,0.007138729095458984,107,5,16
8,17,True,0.007234811782836914,95,9,24
8,18,True,0.05023193359375,105,9,24
8,19,True,0.004530668258666992,111,3,12
8,20,True,0.03188681602478027,78,22,50
8,21,True,0.005823850631713867,127,10,26
8,22,True,0.004472255706787109,121,3,12
8,23,True,0.02805614471435547,114,38,82
8,24,True,0.006387472152709961,101,10,26
10,0,True,4.150784254074097,162,1036,2080
10,1,True,0.03255772590637207,168,25,58
10,2,True,0.0016450881958007812,112,1,10
10,3,True,0.002054929733276367,140,2,12
10,4,True,0.7303845882415771,139,588,1184
10,5,True,0.04774832725524902,148,28,64
10,6,True,0.02868056297302246,153,27,62
10,7,True,0.008369922637939453,127,16,40
10,8,True,0.006259441375732422,152,5,18
10,9,True,0.009738922119140625,135,11,30
10,10,True,0.002364635467529297,155,1,10
10,11,True,0.0020928382873535156,135,2,12
10,12,True,0.0902249813079834,134,88,184
10,13,True,0.10957026481628418,147,179,366
10,14,True,0.31418323516845703,138,303,614
10,15,True,0.016962051391601562,175,19,46
10,16,True,0.0026655197143554688,115,3,14
10,17,True,0.09850764274597168,106,194,396
10,18,True,0.7256016731262207,157,321,650
10,19,True,0.058011770248413086,168,56,120
10,20,True,0.002123117446899414,117,3,14
10,21,True,0.0025756359100341797,116,2,12
10,22,True,0.0025098323822021484,133,2,12
10,23,True,0.09429645538330078,117,233,474
10,24,True,0.0015757083892822266,95,2,12
12,0,False,15.000396490097046,,26052,52116
12,1,True,1.3390207290649414,180,2745,5500
12,2,True,0.009279966354370117,188,6,22
12,3,True,0.11614060401916504,172,207,424
