n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls,baseline_success,baseline_time,baseline_cost,baseline_conflicts
4,0,True,0.0008575916290283203,53,1,4,True,0.40898728370666504,96,0
4,1,True,0.009701251983642578,73,10,22,True,0.12353229522705078,188,0
4,2,True,0.0010027885437011719,61,1,4,True,0.031034469604492188,108,0
4,3,True,0.0013005733489990234,68,1,4,True,0.5405738353729248,148,0
4,4,True,0.0005130767822265625,30,1,4,True,0.027269840240478516,64,0
4,5,True,0.002678394317626953,88,1,4,True,0.4435243606567383,176,0
4,6,True,0.0020265579223632812,66,2,6,True,0.4089083671569824,136,0
4,7,True,0.0018763542175292969,66,1,4,True,0.2544522285461426,120,0
4,8,True,0.000850677490234375,53,1,4,True,0.11051416397094727,88,0
4,9,True,0.00030875205993652344,28,1,4,True,0.018576860427856445,60,0
4,10,True,0.003064870834350586,70,2,6,True,0.12018847465515137,132,0
4,11,True,0.0009045600891113281,46,1,4,True,0.11022233963012695,108,0
4,12,True,0.0038759708404541016,41,4,10,True,0.060837507247924805,104,0
4,13,True,0.001817464828491211,90,1,4,True,0.14765453338623047,184,0
4,14,True,0.0017418861389160156,66,1,4,True,0.3473193645477295,156,0
4,15,True,0.0009968280792236328,55,1,4,True,0.14145350456237793,88,0
4,16,True,0.0010137557983398438,40,2,6,True,0.020591259002685547,76,0
4,17,True,0.0016248226165771484,63,1,4,True,0.14380860328674316,144,0
4,18,True,0.001409769058227539,54,2,6,True,0.46742701530456543,88,0
4,19,True,0.0036029815673828125,75,2,6,True,0.14407014846801758,148,0
4,20,True,0.001360177993774414,67,1,4,True,0.6496071815490723,132,0
4,21,True,0.0008072853088378906,40,1,4,True,0.2553739547729492,84,0
4,22,True,0.0006167888641357422,37,1,4,True,0.22144389152526855,84,0
4,23,True,0.0005838871002197266,37,1,4,True,0.017521381378173828,60,0
4,24,True,0.0006926059722900391,52,1,4,True,0.20505189895629883,124,0
6,0,True,0.0051610469818115234,108,2,8,False,5.0021843910217285,,
6,1,True,0.0022041797637939453,92,2,8,True,1.3974664211273193,204,0
6,2,True,0.0010974407196044922,53,1,6,False,5.005577564239502,,
6,3,True,0.001272439956665039,72,1,6,False,5.000487565994263,,
